Question_Type,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Marks
MCQ,Which data structure uses LIFO order?,Stack,Queue,Linked List,Tree,Stack,1
MCQ,What is the output of 2+2*2?,4,6,8,10,6,1
MCQ,Which language is primarily used for web development?,Python,C,HTML,Java,HTML,1
MCQ,Which one is a non-volatile memory?,RAM,Cache,ROM,Register,ROM,1
TF,Java is a statically typed language,,,,,TRUE,1
TF,The Internet and the Web are the same thing,,,,,FALSE,1
Fill,CPU stands for ______.,,,,,Central Processing Unit,1
Fill,The shortcut key to copy text in Windows is ______.,,,,,Ctrl+C,1
OneWord,The shortcut key to paste text in Windows?,,,,,Ctrl+V,1
OneWord,What is the binary of 5?,,,,,101,1
